id,phrase,feature_1,feature_2,feature_3,sentiment
3406,"There 's no point of view , no contemporary interpretation of Joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",38.0,2.0,6.0,0
3407,"It would be great to see this turd squashed under a truck , preferably a semi .",17.0,1.0,2.0,0
3408,It 's a bad action movie because there 's no rooting interest and the spectacle is grotesque and boring .,20.0,1.0,3.0,0
3409,It 's unlikely we 'll see a better thriller this year .,12.0,1.0,,2
3410,"-LRB- Clooney 's -RRB- debut can be accused of being a bit undisciplined , but it has a tremendous , offbeat sense of style and humor that suggests he was influenced by some of the filmmakers who have directed him , especially the Coen brothers and Steven Soderbergh .",49.0,,9.0,2
3411,The Country Bears has no scenes that will upset or frighten young viewers .,14.0,3.0,1.0,1
3412,The lack of naturalness makes everything seem self-consciously poetic and forced ... It 's a pity that -LRB- Nelson 's -RRB- achievement does n't match his ambition .,,,12.0,0
3413,"Whatever one makes of its political edge , this is beautiful filmmaking from one of French cinema 's master craftsmen .",21.0,2.0,,2
3414,"And if you appreciate the one-sided theme to Lawrence 's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified Martin Lawrence lovefest .",31.0,4.0,,0
3415,`` Abandon '' will leave you wanting to abandon the theater .,12.0,1.0,5.0,0
3416,A movie that seems motivated more by a desire to match mortarboards with Dead Poets Society and Good Will Hunting than by its own story .,26.0,7.0,,1
3417,"If a big musical number like ` Praise the Lord , He 's the God of Second Chances ' does n't put you off , this will be an enjoyable choice for younger kids .",35.0,7.0,7.0,2
3418,Devoid of any of the qualities that made the first film so special .,14.0,1.0,1.0,0
3419,"... the cast portrays their cartoon counterparts well ... but quite frankly , Scoob and Shag do n't eat enough during the film . '",25.0,2.0,,0
3420,"This is n't exactly profound cinema , but it 's good-natured and sometimes quite funny .",16.0,1.0,5.0,2
3421,Blue Crush is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be .,,2.0,3.0,0
3422,But Mr. Polanski creates images even more haunting than those in Mr. Spielberg 's 1993 classic .,17.0,5.0,4.0,2
3423,Both a successful adaptation and an enjoyable film in its own right .,,1.0,,2
3424,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,21.0,2.0,2.0,2
3425,"borrows a bit from the classics `` Wait Until Dark '' and `` Extremities '' ... But in terms of its style , the movie is in a class by itself .",,5.0,13.0,2
3426,"Donovan ... squanders his main asset , Jackie Chan , and fumbles the vital action sequences .",,,6.0,0
3427,"Viewers are asked so often to suspend belief that were it not for Holm 's performance , the film would be a total washout .",25.0,2.0,3.0,0
3428,"The byplay and bickering between the now spy-savvy siblings , Carmen -LRB- Vega -RRB- and Juni -LRB- Sabara -RRB- Cortez , anchor the film in a very real and amusing give-and-take .",32.0,6.0,14.0,2
3429,"To work , love stories require the full emotional involvement and support of a viewer .",16.0,1.0,2.0,1
3430,Ah-nuld 's action hero days might be over .,9.0,,3.0,0
3431,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .",17.0,4.0,3.0,2
3432,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",29.0,1.0,,2
3433,"It 's the cute frissons of discovery and humor between Chaplin and Kidman that keep this nicely wound clock not just ticking , but humming .",26.0,3.0,3.0,2
3434,"Because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags .",,,6.0,0
3435,"As an introduction to the man 's theories and influence , Derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , however , it 's invaluable .",36.0,2.0,7.0,2
3436,"A thriller whose style , structure and rhythms are so integrated with the story , you can not separate them .",21.0,1.0,3.0,2
3437,"As predictable as the outcome of a Globetrotters-Generals game , Juwanna Mann is even more ludicrous than you 'd expect from the guy-in-a-dress genre , and a personal low for everyone involved .",33.0,4.0,8.0,0
3438,"When your subject is illusion versus reality , should n't the reality seem at least passably real ?",18.0,,3.0,0
3439,"... pitiful , slapdash disaster .",6.0,,5.0,0
3440,"A dark , dull thriller with a parting shot that misfires .",,1.0,2.0,1
3441,"The production design , score and choreography are simply intoxicating .",,1.0,2.0,2
3442,A small independent film suffering from a severe case of Hollywood-itis .,12.0,,2.0,0
3443,"Plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .",23.0,1.0,4.0,0
3444,A singularly off-putting romantic comedy .,6.0,1.0,2.0,0
3445,The only question ... is to determine how well the schmaltz is manufactured -- to assess the quality of the manipulative engineering .,23.0,1.0,6.0,0
3446,The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .,34.0,1.0,6.0,0
3447,"Without -LRB- De Niro -RRB- , City By The Sea would slip under the waves .",,7.0,6.0,0
3448,-- but certainly hard to hate .,7.0,0.0,3.0,2
3449,Feels familiar and tired .,5.0,1.0,1.0,0
3450,"Proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",19.0,1.0,3.0,0
3451,An engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,19.0,1.0,3.0,2
3452,"The complex , politically charged tapestry of contemporary Chinese life this exciting new filmmaker has brought to the screen is like nothing we Westerners have seen before .",28.0,,,2
3453,A soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .,19.0,2.0,2.0,0
3454,"` God help us , but Capra and Cooper are rolling over in their graves . '",17.0,,4.0,0
3455,"In the affable Maid in Manhattan , Jennifer Lopez 's most aggressive and most sincere attempt to take movies by storm , the diva shrewdly surrounds herself with a company of strictly A-list players .",35.0,6.0,,2
3456,"An ugly , revolting movie .",6.0,1.0,2.0,0
3457,Gorgeous to look at but insufferably tedious and turgid ... a curiously constricted epic .,15.0,1.0,,0
3458,"A touching , sophisticated film that almost seems like a documentary in the way it captures an Italian immigrant family on the brink of major changes .",27.0,2.0,2.0,2
3459,"It picked me up , swung me around , and dropped me back in my seat with more emotional force than any other recent film .",26.0,1.0,3.0,2
3460,Less a heartfelt appeal for the handicapped than a nice Belgian waffle .,13.0,2.0,,1
3461,No amount of good acting is enough to save Oleander 's uninspired story .,14.0,2.0,2.0,0
3462,It is not the first time that director Sara Sugarman stoops to having characters drop their pants for laughs and not the last time she fails to provoke them .,,3.0,,0
3463,I 'd watch these two together again in a New York minute .,13.0,3.0,2.0,2
3464,It 's exactly the kind of movie Toback 's detractors always accuse him of making .,16.0,,3.0,0
3465,"Bolstered by an astonishing voice cast -LRB- excepting Love Hewitt -RRB- , an interesting racial tension , and a storyline that I have n't encountered since at least Pete 's Dragon .",32.0,6.0,9.0,2
3466,"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",27.0,2.0,4.0,1
3467,"If not a home run , then at least a solid base hit .",14.0,1.0,,2
3468,"Without a fresh infusion of creativity , 4Ever is neither a promise nor a threat so much as wishful thinking .",21.0,1.0,,0
3469,`` Juwanna Mann ? '',5.0,2.0,5.0,1
3470,The date movie that Franz Kafka would have made .,10.0,3.0,1.0,1
3471,"Ultimately , Jane learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with .",28.0,2.0,3.0,1
3472,"Open-ended and composed of layer upon layer , Talk to Her is a cinephile 's feast , an invitation to countless interpretations .",23.0,3.0,5.0,1
3473,Those moviegoers who would automatically bypass a hip-hop documentary should give `` Scratch '' a second look .,18.0,2.0,6.0,2
3474,Cool .,,1.0,1.0,2
3475,A straight-ahead thriller that never rises above superficiality .,9.0,1.0,2.0,0
3476,"It 's not particularly subtle ... However , it still manages to build to a terrifying , if obvious , conclusion .",22.0,,8.0,1
3477,"Anyone who wants to start writing screenplays can just follow the same blueprint from hundreds of other films , sell it to the highest bidder and walk away without anyone truly knowing your identity .",35.0,1.0,2.0,0
3478,"Films about loss , grief and recovery are pretty valuable these days .",13.0,1.0,2.0,2
3479,Nicks and Steinberg match their own creations for pure venality -- that 's giving it the old college try .,,2.0,4.0,0
3480,"The predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances .",17.0,,2.0,0
3481,"Elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .",25.0,1.0,2.0,0
3482,"While Scorsese 's bold images and generally smart casting ensure that `` Gangs '' is never lethargic , the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about .",44.0,,8.0,0
3483,"Max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished .",25.0,1.0,,2
3484,Might best be enjoyed as a daytime soaper .,9.0,1.0,1.0,1
3485,"Combines improbable melodrama -LRB- gored bullfighters , comatose ballerinas -RRB- with subtly kinky bedside vigils and sensational denouements , and yet at the end , we are undeniably touched .",30.0,1.0,,2
3486,"It 's a fine , old-fashioned-movie movie , which is to say it 's unburdened by pretensions to great artistic significance .",22.0,1.0,,2
3487,"Halfway through , however , having sucked dry the undead action flick formula , Blade II mutates into a gross-out monster movie with effects that are more silly than scary .",31.0,3.0,5.0,0
3488,"Instead of hitting the audience over the head with a moral , Schrader relies on subtle ironies and visual devices to convey point of view .",,2.0,2.0,2
3489,Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .,,,1.0,0
3490,"As directed by Dani Kouyate of Burkina Faso , Sia lacks visual flair .",14.0,6.0,2.0,1
3491,The script is smart and dark - hallelujah for small favors .,12.0,1.0,2.0,2
3492,"None of his actors stand out , but that 's less of a problem here than it would be in another film : Characterization matters less than atmosphere .",29.0,2.0,4.0,1
3493,A decidedly mixed bag .,5.0,1.0,1.0,1
3494,This may be Burns 's strongest film since The Brothers McMullen .,12.0,5.0,2.0,2
3495,"The script is smart , not cloying .",8.0,1.0,2.0,2
